signalId,name,lon,lat
517fa67d-fb93-42bd-9833-51a9e918ca96,Mound Rd @ 18 Mile Rd North to South,-83.05091679096222,42.59688535729412
45c4d830-a393-4a6b-9ab4-e122e75d1239,Mound Rd @ 18 1/2 Mile Rd South,-83.05083096027374,42.60010167766301
7e812a07-5f41-4026-9474-49cfb0ff4da2,Mound Rd @ 19 Mile Rd,-83.05131375789642,42.60887315507081
02cd7780-1317-4c27-b180-0ccea7f7a2d5,Mound Rd @ The Forum at Gateways,-83.0521559715271,42.62185338565612
17ccded9-6519-48b2-9a8f-54a246d9340e,Mound Rd @ Dobry Dr South to North,-83.0517965555191,42.622804689080134
4ca68839-4c0f-48e4-9edb-e30cc12eb4df,Mound Rd @ Dobry Dr,-83.05205404758453,42.62475461829956
07e2c7de-e4ef-4f4f-bc32-b069a309ba78,Mound Rd @ Dobry Dr North to South,-83.0524080991745,42.62692157325031
54283bce-d750-4e95-a0c9-cd4405ad0798,Mound Rd @ W Utica Rd,-83.05234372615814,42.62996465585827
713642f0-8f69-41c8-9738-bdd53f971337,Mound Rd @ Auburn Rd,-83.052499294281,42.63249847105226
dad909d1-e817-41e8-becb-bfe4f4021d00,Mound Rd @ 17 Mile Rd South to North,-83.04962128400803,42.57765307647469
